ID;Start time;Completion time;Email;Name;Last modified time;Please place your age into the appropriate range;Please specify your gender.;What is your experience with volleyball of any kind (indoor, beach, and other variants) prior to this study, in years actively practised and/or played, including at casual levels.;What is your experience with VR prior to participating in this study?;Have you ever played any VR sports games in VR before?;What sports did you play?;"Please rate your general enjoyment whilst playing, all factors considered.                                                                                                   1 = ""I would rather hav...";"Please rate how natural the ball handling felt.                                                                                                                                               1 = ""I...";"Please rate how comfortable the interactions with user interface were.                                                                                                       1 = ""It was actively un...";Please share any other comments you might have about the gameplay mechanics in your experience here.;Do you feel like you have been able to reach a comfortable setting for the game's crowd?;"How would you assess the frequency of opportunities to adjust the crowd population during matches?                                                   1 = ""There were not nearly enough opportunities...";"How much do you believe your concentration on the game was affected by the crowd at your most comfortable setting?                        1 = ""I was entirely unfased by the crowd"", 10 = ""My focus ...";"How much do you believe your concentration on the game was affected by the crowd at your least comfortable setting?                        1 = ""I was entirely unfased by the crowd"", 10 = My focus ...";"How natural did you find the crowd at your preferred configuration?                                                                                                      1 = ""This crowd was devoid ...";Please share any other comments you may have about the crowds in-game here, in particular in what way they caught your attention, if at all.
1;7/29/26 10:36:22;7/29/26 10:47:42;anonymous;;;18-24;Man;0-2 years;I have tried it a handful of times;No;;10;9;10;Amazing experience all around! Having the crowd cheer for your wins is a feat not to be missed. One of the best feelings watching the ball soar through the skies with the sun. Loved the experience of volleyball indoors and definitely will be getting a 10/10 from me!;Yes;4;1;4;8;Crowd drove me to have a better game! Having the crowd cheering just feels you up with a sense of pride and also further motivated me to have a better game!
2;7/29/26 14:07:30;7/29/26 14:11:49;anonymous;;;25-34;Man;0-2 years;I have tried it a handful of times;No;;7;5;7;I believe it's a bit harder to punch the incoming balls in the right direction.;Yes;5;3;3;7;
3;7/30/26 15:25:35;7/30/26 15:33:30;anonymous;;;18-24;Man;0-2 years;I am familiar with VR;No;;4;4;8;"We encountered quite a few odd interactions with the colliders of the ball, the ""hands"" and the head of the player avatar. I do believe the application is still under refinement, but it did feel that testing those odd interactions felt a lot more interesting than the core gameplay, for playing it as a focused wasn't too interesting for me.";Yes;3;9;8;6;My preferred setting would be somewhere between level 1 and 2, in terms of the auditory response, but 2 on the visual density. Despite that, I chose 1 simply because of the reactions of the crowd. I'm not aware of the implementation part of it, but because there was only a general background track playing for the audience at different modes, it was just hard to focus when the density was too high, even after making volume adjustments. As such, level 1 seemed the most tame as it had realistic enough energy for a crowd that size, while not being okay with the audio.
4;7/31/26 17:50:00;7/31/26 17:53:11;anonymous;;;18-24;Woman;0-2 years;I have dabbled with VR a decent amount;No;;6;5;8;I found serving the ball a bit harder (but maybe thats just me), in general the mechanics were working! ;Yes;5;3;8;9;I had level 1 setting throughout most of the experience which felt pretty nice, not distracting and gave a nice ambience
5;7/31/26 19:41:14;7/31/26 19:43:23;anonymous;;;18-24;Man;0-2 years;I have tried it a handful of times;No;;5;3;4;;Yes;5;1;7;2;
6;7/31/26 20:08:50;7/31/26 20:10:22;anonymous;;;18-24;Woman;0-2 years;I have tried it a handful of times;No;;6;4;6;;Yes;5;7;7;5;
7;8/1/26 15:21:35;8/1/26 15:25:50;anonymous;;;18-24;Man;0-2 years;I have never experienced VR before;;;7;4;8;Jumping higher ;Yes;5;1;1;8;
8;8/1/26 15:49:19;8/1/26 15:56:22;anonymous;;;18-24;Man;0-2 years;I have dabbled with VR a decent amount;No;;9;6;7;;Yes;5;10;10;4;
9;8/1/26 16:16:25;8/1/26 16:20:00;anonymous;;;18-24;Man;0-2 years;I have tried it a handful of times;No;;7;5;8;;Yes;4;7;7;8;
10;8/6/26 13:30:36;8/6/26 13:45:36;anonymous;;;18-24;Woman;0-2 years;I am familiar with VR;No;;1;5;5;;Yes;7;10;10;10;
11;8/6/26 15:12:55;8/6/26 15:16:26;anonymous;;;25-34;Man;0-2 years;I am familiar with VR;No;;10;8;9;It was quite great and intuitive.;Yes;7;2;7;8;
12;8/6/26 16:40:04;8/6/26 16:42:46;anonymous;;;18-24;Man;0-2 years;I am familiar with VR;No;;10;8;10;;Yes;9;1;10;10;
13;8/7/26 16:48:35;8/7/26 16:55:18;anonymous;;;25-34;Man;0-2 years;I have dabbled with VR a decent amount;No;;9;7;9;Except sometime where I didn't understand where the ball might land up, everything was great;Yes;5;9;10;8;Somehow I felt better with no crowd, or with full crowd. 
14;8/10/26 17:46:23;8/10/26 17:50:44;anonymous;;;25-34;Man;0-2 years;I have never experienced VR before;;;8;8;9;The gameplay is immersive and quite adaptive to a beginner as well. ;Yes;7;8;6;9;"The audience seems quite real with cheering and comments.
It enhances the gameplay and performance of the player as well"
